,4-BLOCK POLYMER,Electronic Dielectric Constant,Ionic Dielectric Constant,Total Dielectric Constant,HSE Band Gap (eV)
76,CH2-O-C4H2S-C6H4,3.187,0.408,3.596,3.574
77,CH2-C4H2S-CO-C4H2S,3.759,0.914,4.672,2.891
78,CO-C6H4-CO-O,3.139,1.342,4.480,3.676
79,CH2-CH2-CO-C4H2S,3.216,0.547,3.762,3.446
80,CH2-CO-CS-C6H4,3.708,0.498,4.205,2.526
81,CH2-CS-CO-O,3.064,0.829,3.893,2.388
82,NH-C4H2S-NH-C4H2S,3.399,0.444,3.843,3.606
83,C6H4-CS-C6H4-CS,3.330,0.213,3.543,2.041
84,CH2-C6H4-CH2-C6H4,3.120,0.087,3.207,4.782
85,CH2-C4H2S-O-CS,3.401,0.445,3.846,3.267
86,CO-C6H4-C6H4-C4H2S,4.939,0.570,5.509,1.941
87,CH2-CH2-NH-C4H2S,3.085,0.441,3.526,3.830
88,CH2-CH2-CO-O,2.521,0.572,3.092,6.838
89,CH2-CO-CS-C4H2S,3.732,0.625,4.357,2.385
90,CH2-C6H4-CH2-CS,3.193,0.217,3.410,3.078
91,CH2-C6H4-NH-C6H4,3.312,0.365,3.677,3.908
92,C6H4-C4H2S-C6H4-O,4.097,0.359,4.455,2.267
93,C6H4-C4H2S-O-CS,3.962,0.604,4.567,2.376
94,CH2-C4H2S-C4H2S-CS,4.385,0.492,4.877,1.997
95,CH2-CO-CH2-O,2.650,0.911,3.561,5.014
96,C6H4-C4H2S-C4H2S-C4H2S,7.691,0.174,7.865,1.289
97,CH2-C4H2S-NH-O,3.267,0.554,3.820,3.999
98,CH2-CO-C6H4-C4H2S,3.508,0.367,3.875,2.939
99,NH-CO-O-C4H2S,3.393,0.849,4.242,3.488
100,CH2-C4H2S-CO-O,3.092,0.710,3.802,3.913
101,CH2-CS-C6H4-NH,4.173,0.874,5.047,2.248
102,CO-O-C6H4-CS,3.480,0.736,4.216,2.526
